586	+	1454	=	2040
641	+	1665	=	2306
27	+	1785	=	1812
1419	+	1409	=	2828
509	+	570	=	1079
125	+	1605	=	1730
1343	+	1873	=	3216
1409	+	941	=	2350
881	+	214	=	1095
1632	+	567	=	2199
711	+	1575	=	2286
658	+	1893	=	2551
949	+	2021	=	2970
462	+	893	=	1355
827	+	1948	=	2775
1337	+	44	=	1381
257	+	486	=	743
1602	+	1990	=	3592
716	+	1974	=	2690
1290	+	1187	=	2477
1484	+	1938	=	3422
989	+	1240	=	2229
1282	+	219	=	1501
151	+	1278	=	1429
228	+	320	=	548
764	+	1729	=	2493
309	+	1627	=	1936
1284	+	327	=	1611
15	+	172	=	187
1410	+	1674	=	3084
23	+	1874	=	1897
1029	+	145	=	1174
1359	+	1987	=	3346
1235	+	615	=	1850
1961	+	546	=	2507
520	+	115	=	635
1061	+	1790	=	2851
1641	+	210	=	1851
1543	+	71	=	1614
1081	+	154	=	1235
1724	+	176	=	1900
1446	+	1554	=	3000
1847	+	1480	=	3327
193	+	1077	=	1270
1844	+	420	=	2264
220	+	775	=	995
377	+	1306	=	1683
356	+	228	=	584
721	+	1924	=	2645
228	+	1243	=	1471
803	+	323	=	1126
426	+	678	=	1104
458	+	576	=	1034
1616	+	1524	=	3140
800	+	1125	=	1925
613	+	1092	=	1705
995	+	1009	=	2004
465	+	125	=	590
77	+	1560	=	1637
485	+	953	=	1438
1494	+	1041	=	2535
2007	+	1885	=	3892
1221	+	878	=	2099
1473	+	352	=	1825
26	+	689	=	715
263	+	660	=	923
385	+	120	=	505
459	+	1499	=	1958
723	+	1874	=	2597
1790	+	2024	=	3814
1320	+	635	=	1955
256	+	180	=	436
614	+	1527	=	2141
519	+	1025	=	1544
1899	+	1840	=	3739
611	+	802	=	1413
1023	+	1812	=	2835
1667	+	1645	=	3312
1009	+	1395	=	2404
1997	+	1272	=	3269
585	+	217	=	802
1180	+	978	=	2158
361	+	1847	=	2208
568	+	105	=	673
550	+	985	=	1535
1331	+	1900	=	3231
200	+	1465	=	1665
1813	+	1517	=	3330
789	+	1359	=	2148
378	+	333	=	711
1502	+	552	=	2054
1656	+	255	=	1911
433	+	371	=	804
633	+	1103	=	1736
275	+	980	=	1255
613	+	807	=	1420
1439	+	586	=	2025
178	+	182	=	360
168	+	1831	=	1999
802	+	1844	=	2646
271	+	378	=	649
1097	+	1501	=	2598
541	+	416	=	957
826	+	1137	=	1963
1071	+	1038	=	2109
751	+	123	=	874
1645	+	2018	=	3663
271	+	1351	=	1622
1400	+	1933	=	3333
477	+	1423	=	1900
1318	+	1052	=	2370
330	+	1238	=	1568
438	+	171	=	609
1318	+	1704	=	3022
1618	+	895	=	2513
2001	+	272	=	2273
1744	+	751	=	2495
1997	+	303	=	2300
1570	+	1521	=	3091
1356	+	1740	=	3096
649	+	591	=	1240
822	+	871	=	1693
795	+	887	=	1682
1686	+	1074	=	2760
266	+	341	=	607
466	+	16	=	482
874	+	1118	=	1992
1905	+	141	=	2046
277	+	1717	=	1994
1973	+	1162	=	3135
548	+	1774	=	2322
1829	+	281	=	2110
306	+	1258	=	1564
1557	+	87	=	1644
362	+	784	=	1146
1892	+	76	=	1968
951	+	1741	=	2692
1348	+	789	=	2137
608	+	1306	=	1914
733	+	663	=	1396
209	+	666	=	875
1007	+	449	=	1456
1276	+	2013	=	3289
1392	+	1326	=	2718
745	+	29	=	774
399	+	271	=	670
1206	+	1707	=	2913
1662	+	717	=	2379
915	+	1436	=	2351
1250	+	578	=	1828
2022	+	1323	=	3345
76	+	110	=	186
1150	+	1507	=	2657
1173	+	1124	=	2297
858	+	242	=	1100
1073	+	1363	=	2436
1192	+	588	=	1780
1842	+	1321	=	3163
565	+	1372	=	1937
1742	+	701	=	2443
567	+	1280	=	1847
1705	+	922	=	2627
318	+	352	=	670
1311	+	635	=	1946
764	+	1705	=	2469
206	+	1963	=	2169
1699	+	316	=	2015
227	+	1588	=	1815
430	+	1162	=	1592
2001	+	864	=	2865
1494	+	994	=	2488
872	+	1926	=	2798
1552	+	1361	=	2913
1981	+	1288	=	3269
1674	+	1442	=	3116
1087	+	628	=	1715
175	+	1469	=	1644
863	+	699	=	1562
477	+	1296	=	1773
1826	+	433	=	2259
1251	+	1546	=	2797
1755	+	538	=	2293
1306	+	325	=	1631
493	+	1749	=	2242
84	+	200	=	284
114	+	2013	=	2127
1772	+	1195	=	2967
1169	+	1957	=	3126
1909	+	335	=	2244
1212	+	1612	=	2824
569	+	1173	=	1742
1874	+	1122	=	2996
202	+	593	=	795
1687	+	2015	=	3702
853	+	484	=	1337
1772	+	15	=	1787
1766	+	140	=	1906
1214	+	678	=	1892
471	+	1985	=	2456
880	+	1307	=	2187
1703	+	738	=	2441
453	+	823	=	1276
18	+	1638	=	1656
1512	+	813	=	2325
1845	+	1057	=	2902
